title,donor/recipient
Study to Determine the Appropriate Structure for the Administration and Management of the Road Sector,CDB/St. Lucia
Study: The World Trade Organnization and the Developing Countries,OPEC/World Bank
Study Relating to Securities Market Development,ASDB/Indonesia
Study programme for Moldovan analysts of public policy,Poland/Moldova
Study program for Moldovan public policy analysts,Poland/Moldova
Study program for Georgian public policy analysts,Poland/Georgia
Study on Ways to Support Rural Poverty Reduction Projects (Supplementary),ASDB/China
Study on Ways to Support Rural Poverty Reduction Projects,ASDB/China
Study on Vehicular Emission Control Planning in Metro Manila,ASDB/Philippines
Study on the Upgrading of Drinking Water Supply Systems in Abidjan and Bouake,AFDF/Cote d'Ivoire
Study on the Status of the Arab White Cement Manufacturing Co.,AFESD/Jordan
Study on the Role of the Services Sector in Economic Development,ASDB/Malaysia
Study on the Rationalization of Development Financing Institutions,ASDB/Pakistan
Study on the Promotion and Development of Export-Oriented Industries,ASDB/Bhutan
Study on the Privatization of the National Development Bank of Sri Lanka,ASDB/Sri Lanka
Study on the Preparation of an Irrigation Development Plan,AFDF/Cote d'Ivoire
Study on the Preparation of an Environmental Investment Program,AFDF/Angola
Study on the Preparation of a Domestic Energy National Strategy (SNED),AFDF/Niger
Study on the Possibility of the Use of Run-off Water (Grant),AFDF/Chad
Study on the Policy and Institutional Framework for Forest Resources Management,ASDB/Viet Nam
Study on the Macro Impact of Energy Projects,ASDB/Nepal
Study on the Integrated Urban Development of Dacca Metropolitan ,ASDB/Bangladesh
Study on the Impacts of the Gulf War,AFESD/Global
Study on the Formulation and Monitoring of the Public Investment Program,ASDB/Philippines
Study on the Extra-Regional Marketing of Ornamental Plants,CDB/Dominica
Study on the Djibouti City Strategic Sanitation Plan,AFDF/Djibouti
Study on the Development of Suppliers' and Buyers' Credits,ASDB/Indonesia
Study on the Bambadinca-Xitole-Quebo Road,AFDF/Guinea-Bissau
Study on the Agro-Pastoral Development of Diffa Department,AFDF/Niger
Study on the Agricultural and Rural Development sectors,Kuwait/Niger
Study on Sustainable Urbanization in Metropolitan Regions,ASDB/China
Study on Structural Adjustment in the Smallholder Sector,ASDB/Malaysia
Study on Small-Scale Industries,ASDB/Korea
Study on Shrimp Health Management and Disease Control,ASDB/Indonesia
Study on Rural Credit and Savings,ASDB/Kazakhstan
Study on Run-off Water in the Dosso and Tillabery Regions,AFDF/Niger
Study on Revival of Inland Fisheries (Grant),AFDF/Senegal
Study on Regional Industrial Potential and Industrial Pollution Control Policy,ASDB/Pakistan
Study on Regional and Rural Nonfarm Sector Development Issues in Selected States,ASDB/Malaysia
Study on Rationalization of the Wood-Based Industry,ASDB/Philippines
Study on Rationalization and Savings in Higher Education,ASDB/Papua New Guinea
Study on Protection against Flood Damages,AFESD/Yemen
Study on Privatization of Minor Irrigation,ASDB/Bangladesh
Study on Privatization in Lao PDR,ASDB/Laos
Study on Private Post-Secondary Education,ASDB/Indonesia
Study on Primary,AFDF/Central African Rep.
Study on Pricing and Distribution Policies for Vegetable Oil,ASDB/Indonesia
Study on PRC Legal Information System,ASDB/China
Study on power loss reduction in Yemen A.R.,OPEC/Yemen
Study on Post-Secondary Education,IADB/Costa Rica
Study on Possibilities of Run-Off Water Storage,AFDF/Senegal
Study on Policy Impact of Agricultural Program Loan,ASDB/Sri Lanka
Study on Policies for Fertilizer Importation and Marketing,ASDB/Pakistan
Study on Policies for Development of Agribusiness,ASDB/Indonesia
Study on Monitoring the Impact of Policy Changes and Investment of the Tree Crop Sector,ASDB/Indonesia
Study on Market Reform in the Agriculture Sector,ASDB/Kazakhstan
Study on Key Issues Relating to Human Resource Development in Sabah and Sarawak,ASDB/Malaysia
Custom Farm Centres,EBRD/Russia
Custom Farm Centres,EBRD/Russia
Curriculum Development for Teacher Education,ASDB/Laos
Currency swap on behalf of Iron and Steel company,IFC/Egypt
Currency swap for Indsutrial Bank,IFC/Bolivia
Currency and interest rate swap for Indelpro,IFC/Mexico
Curitiba Urban Transport Program II,IADB/Brazil
Curitiba Urban Transport ,IADB/Brazil
Cupping,Colombia/Venezuela
Cunene Province Agriculture and Livestock Rehabilitation,AFDF/Angola
Cumulative Preferred Redeemable Shares: Bank Turan Alum (BTA),EBRD/Kazakhstan
Cumulative Impact Assessment for the Nam Ngum 3 Hydropower Project,ASDB/Laos
Cumere Faqtory Project,OPEC/Guinea-Bissau
Cumere Factory,OPEC/Guinea-Bissau
Cultural program for writing applications Belgrade-Budapest,Hungary/Serbia and Montenegro
Cultural Experiences Exchange in Brasilia,Brazil/Mozambique
Cultural Cooperation with the Town of Dubrovnik,Monaco/Croatia
Cultural and environmental heritage as the driving force behind the small homelands' development-experience of the Kashubian region as a model for rural areas of western Ukraine,Poland/Ukraine
Cultural and Civilizational Heritage Documentation and Publishing Projec,AFESD/Tunisia
Cultivate chrysantemums for export,IFC/Gambia
Cul-de-Sac Irrigation and Agricultural Development Project,IFAD/Haiti
Cukurova Region Urban Engineering Project,IBRD/Turkey
Cukurova Power Project (04),IBRD/Turkey
Cukurova Power Project (03),IBRD/Turkey
Cukurova Power Project (01),IDA/Turkey
Cucuta Water Supply and Sewerage Project,IBRD/Colombia
Cuchumatanes Highlands Rural Development Project,IFAD/Guatemala
Cuchumatanes Highlands Rural Development,OPEC/Guatemala
Cuchamano-Zombewe Road,Kuwait/Mozambique
CUBE (Canada-Ukraine-Baltics Economic Management Training Programme) is a three-year economic management training programme for Ukrainian civil servants,Estonia/Ukraine
Cuba Water Supply System Rehabilitation Project,Kuwait/Cuba
CT scanner system,United States/China
CTL House Industry Internship Bolivia-CORFO ,Chile/Bolivia
CS Pre-Privatisation Equity,EBRD/Czech Republic
CSOB Privatisation (Equity),EBRD/Czech Republic
CSN Steel Expansion Stage Project (03),IBRD/Brazil
Cryogenic heat exchanges,United States/Oman
Cruise Ship Pier,CDB/Jamaica
Crude Oil Refining Units,United States/Indonesia
Crown Lands Development Project,IBRD/Trinidad & Tobago
Cross-Border Trade and Transport Facillitation,ASDB/Afghanistan
CROSS-BORDER PROJECT TO COMBAT DESERTIFICATION,Monaco/Niger
Cross-Border Development,ASDB/Pakistan
Cross-border co-operation strategy: Lublin - Lutsk - Lvov Ivano - Frankovsk,Poland/Ukraine
Cross-border co-operation of the Border Guard Forces of the Republic of Poland and State Border Guard Service of Ukraine,Poland/Ukraine
Cross-border co-operation in the field of posture defects prophylaxis in children in the region of Yavoriv,Poland/Ukraine
Cross-border co-operation concerning posture correction in children in the region of Yavoriv  2nd phase,Poland/Ukraine
[Cross-border],Lithuania/Belarus
Crop Transfer  to improve the potato,Brazil/Argentina
Crop Production Improvement Project,IBRD/Hungary
Crop Production,ASDB/Mongolia
Crop Intensification Program II,ASDB/Bangladesh
Crop Intensification Program,ASDB/Nepal
Crop Intensification Program,ASDF/Pakistan
Crop Intensification Program,ASDF/Nepal
Investment,United States/India
Investment,United States/Pakistan
Investment,United States/Korea
Investment,United States/Honduras
Investment,United States/Cameroon
Investment,United States/Benin
Investment,United States/Taiwan
Investment,United States/Yemen
Investment,United States/Indonesia
Investment,United States/Philippines
Investment,United States/Haiti
Investment,United States/Bangladesh
Investment,United States/Bolivia
Investment,United States/Chile
Investment,United States/Sierra Leone
Investment,United States/Costa Rica
Investment,United States/Jamaica
Investment,United States/Dominican Republic
Investment,United States/St. Kitts & Nevis
Investment,United States/Haiti
Investment,United States/Egypt
Investment,United States/Pakistan
Investment,United States/Philippines
Investment,United States/Saudi Arabia
Investment,United States/Indonesia
Investment,United States/Honduras
Investment,United States/Saudi Arabia
Investment,United States/Syria
Investment,United States/Chile
Investment,United States/Turkey
Investment,United States/Taiwan
Investment,United States/Costa Rica
Investment,United States/Egypt
Investment,United States/Korea
Investment,United States/Saudi Arabia
Investment,United States/Malaysia
Investment,United States/Philippines
Investment,United States/Taiwan
Investment,United States/Thailand
Investment,United States/Egypt
Investment,United States/Korea
Investment,United States/India
Investment,United States/India
Investment,United States/Haiti
Investment,United States/Ecuador
Investment,United States/India
Investment,United States/Brazil
Investment,United States/Indonesia
Investment,United States/Brazil
Investment,United States/Cote d'Ivoire
Investment,United States/China
Investment,United States/Korea
Investment,United States/Indonesia
Investment,United States/Thailand
Investment,United States/Brazil
Investment,United States/Taiwan
Investment,United States/Costa Rica
Investment,United States/Philippines
Investment,United States/Indonesia
Investment,United States/China
Investment,United States/India
Investment,United States/Korea
Investment,United States/St. Lucia
Investment,United States/Jamaica
Investment,United States/China
Investment,United States/Haiti
Investment,United States/Korea
Investment,United States/Egypt
Investment,United States/Thailand
Investment,United States/Turkey
Investment,United States/Philippines
Investment,United States/Taiwan
Investment,United States/Nigeria
Investment,United States/Belize
Investment,United States/Korea
Investment,United States/Korea
Investment,United States/Honduras
Investment,United States/Haiti
Investment,United States/Brazil
Investment,United States/Bangladesh
Investment,United States/Swaziland
Investment,United States/Thailand
Investment,United States/Zambia
Investment,United States/Pakistan
Investment,United States/Taiwan
Investment,United States/Taiwan
Investment,United States/Taiwan
Investment,United States/Chile
Investment,United States/Tunisia
Investment,United States/Egypt
Investment,United States/Taiwan
Investment,United States/Dominican Republic
Investment,United States/Liberia
Investment,United States/Egypt
Investment,United States/Sudan
Investment,United States/China
Investment,United States/Guyana
Investment,United States/Trinidad & Tobago
Investment,United States/Costa Rica
Investment,United States/India
Database of Thai Consultants,ASDB/Thailand
Database for Gender Disaggregated Statistics,ASDB/Samoa
Dasher El-Wad and Ait-Massoud Dams Project,Kuwait/Morocco
Daro-Mukah Coastal Zone Development,ASDB/Malaysia
Dar-es-Salaam - Somanga Road Reconstruction / Rehabilitation Project,OPEC/Tanzania
Dar es Salaam-Somanga Road Reconstruction/ Rehabilitation,OPEC/Tanzania
Dar-Es-Salaam - Somanga Road Project,Kuwait/Tanzania
Dar Es Salaam - Somanga Road Project,Kuwait/Tanzania
Dar Es Salaam Sewerage and Sanitation Project,IDA/Tanzania
Dar Es Salaam Port Project,IDA/Tanzania
Daqing Oil Project,IBRD/China
Dapdapia Bridge Project,Kuwait/Bangladesh
Dapaong Water Supply Project,Kuwait/Togo
Dapango City water supply,Kuwait/Togo
Danuta S.A.,EBRD/Poland
Danube Holding Ltd,EBRD/Romania
Danube Black Sea Canal Project,IBRD/Romania
Danone-Serdika SA,EBRD/Bulgaria
Danone Multi-Project Facility (MPF) â€“ Serdika Capital Increase,EBRD/Bulgaria
Danone Multi-project Facility,EBRD/Poland
Danone MPF - Serdika Capital Increase,EBRD/Bulgaria
Danone MPF â€“ Danone Industria LLC,EBRD/Russia
Danone MPF â€“ Danone Ciastka,EBRD/Poland
Danone Milk Procurement,EBRD/Russia
Danone Industria III,EBRD/Russia
Dangara Valley Irrigation Project (Phase II),Kuwait/Tajikistan
Dangara General Hospital,OPEC/Tajikistan
Danforge Engineering (Pty) Ltd.,NDF/South Africa
Dandong Power Plant,United States/China
Dande Smallholder Irrigation Project,OPEC/Zimbabwe
Dande Smallholder Irrigation Project,AFDB/Zimbabwe
Dande Small holder Irrigation Project,AFDF/Zimbabwe
Dande Irrigation Project,BADEA/Zimbabwe
Danafco Company Ltd.,NDF/Ghana
Dam Safety Project,IDA/India
Agricultural Development Bank Project (06),IDA/Pakistan
Damodar Multi-purpose Project,IBRD/India
Damietta Power Station (Phase II),AFESD/Egypt
Damietta Power Plant Project,AFDB/Egypt
Damascus Water Supply Project (Second Loan),AFESD/Syria
Damascus Water Supply Project (02),IBRD/Syria
Damascus Water Supply Project,AFESD/Syria
Damascus Sewerage Project,Kuwait/Syria
Damascus-Sanamein-Jordanian Border Road,AFESD/Syria
Damascus Refuse Composting Project,OPEC/Syria
Damascus-Lebanon Border Highway,Saudi Arabia/Syria
Damascus International Airport,United Arab Emirates/Yemen
Damascus Garbage Composting Project,AFESD/Syria
Daloa,AFDF/Cote d'Ivoire
Dalmatinska Banka Credit Line Extension,EBRD/Croatia
Dalkia Usti Nad Labem,EBRD/Czech Republic
Dalkia Termika II,EBRD/Poland
Dalkia Prometheus III,EBRD/Hungary
Dalkia Multi-Project Facility II: Poznan Cogeneration Privatisation,EBRD/Poland
Dalkia Multi-Project Facility II: Lodz Cogeneration Privatisation,EBRD/Poland
Dalkia multi-project facility: Dalkia Termika,EBRD/Poland
Dalkia Litesko II,EBRD/Poland
Dalkia ESCO Romania,EBRD/Romania
Dali-Lijiang Railway,ASDB/China
Dali-Lijiang Railway,ASDB/China
Dalian Water Supply,ASDB/China
Dalian Water Resources Development,ASDB/China
Dalian Power Plant,United States/China
Dalian Port Project,IBRD/China
Dalian Multipurpose Water Resources Development,ASDB/China
Daldo Metal Russia,EBRD/Russia
Dalal Jamm Hospital,OPEC/Senegal
Dak ta-Ngoc Linh Rural Project,Kuwait/Viet Nam
Dak Lak Province Irrigation Project,Kuwait/Viet Nam
Dakawa Rice Project (Supplementary),AFDF/Tanzania
Dakawa Rice Project,AFDF/Tanzania
Dakawa Rice Development,AFDF/Tanzania
Dakawa Revised Rice Project,AFDB/Tanzania
Dakawa Integrated Irrigation Study (Grant),AFDF/Tanzania
Dakar-Thies Road Project,Saudi Arabia/Senegal
Dakar Sewerage Project,AFDF/Senegal
Dakar Region Road,Kuwait/Senegal
Dakar Port Extension,BADEA/Senegal
Dakar Northern Slip Road Project (Section 3),Kuwait/Senegal
Dakar Northern Slip Road Project (Section 2),Kuwait/Senegal
Dakar Fishing Port Project,IBRD/Senegal
PRISCO Maritime Limited,EBRD/Russia
Priority Works,OPEC/Ghana
Priority Road Rehabilitation Project,IDA/Guinea
Priority Public Works Project,IDA/Ghana
Priority Activities in the Panama Canal Watershed,IADB/Panama
Priorbank syndication,EBRD/Belarus
Priorbank Funding Facility,EBRD/Belarus
Priorbank,EBRD/Belarus
Priorbank,EBRD/Belarus
Printing Works Expansion,CDB/Belize
Printing Press,United States/Brazil
Printing Press,United States/Argentina
Printing of School Text books,AFDF/Somalia
Printability Ltd.,IFC/South Africa
Princeton Computing Training Solutions (PtyJLtd,NDF/South Africa
Prince Hamza Hospital,AFESD/Jordan
Primsots Bank,EBRD/Russia
Primsotsbank,EBRD/Russia
Primo Oleochemicals Inc.,ASDB/Philippines
Primofina Oleochemicals,ASDB/Philippines
Prime Food Sp z.o.o.,EBRD/Poland
Primary Teacher Training Sector,ASDB/Nepal
Primary Teacher Training Project (Education II) (Reallocation),AFDF/Mozambique
Primary Teachers' Training,AFDF/Mozambique
Primary Teacher and Secondary Education Development Project,AFDF/Ethiopia
Primary/Secondary Education and Youth Training,AFDF/Burkina Faso
Primary School Teacher Development Project,IBRD/Indonesia
Primary Schools Rehabilitation,OPEC/Angola
Primary Schools and Teacher Training Institute Project,OPEC/Burkina Faso
Primary Schools and Teacher Training College Project,AFDF/Central African Rep.
Primary Schools,OPEC/Ghana
Primary School Quality Improvement,ASDB/Pakistan
Primary school in Prasam,Poland/Cambodia
Primary school in Kogere,Poland/Kenya
Primary School Education Project,OPEC/Central African Rep.
Primary School Development Project,AFDB/Liberia
PRIMARY SCHOOL DEVELOPMENT,IDA/Ghana
Primary School Construction,OPEC/Maldives
Primary School Construction,OPEC/Cape Verde
Primary School Construction,OPEC/Bangladesh
Primary Roads Restoration,OPEC/Cambodia
Primary Roads Restoration,ASDF/Cambodia
Primary Roads Restoration,ASDB/Cambodia
Primary road network upgrade,EBRD/Bosnia-Herzegovina
Primary Health Project,IBRD/Peru
Primary Health Care Reform,IADB/Paraguay
Primary Health Care Project,IBRD/Jordan
Primary Health Care Project,AFDF/Ethiopia
Primary Health Care Partnership for the Poor,ASDB/Afghanistan
Primary Health Care & Family Planning Project,IBRD/Iran
Primary Health Care Expansion,ASDB/Laos
Primary Health Care Expansion,ASDF/Laos
Primary healthcare and maternity clinic in Morarano,Monaco/Madagascar
Primary Health Care,IADB/Panama
Primary Health Care,ASDF/Laos
Primary Education Support,OPEC/Jamaica
Primary Education Sector Improvement,ASDB/Bangladesh
Primary Education Sector,ASDB/Bangladesh
Integrated Rural Development,AFDF/Mali
Integrated Rural Development,AFESD/Tunisia
Integrated Rural Development,ASDF/Nepal
Integrated Rural Development,IADB/Paraguay
Integrated Rural Development,IADB/Ecuador
Integrated Rural Development,ASDB/Nepal
Integrated Rural Development,IADB/Ecuador
Integrated Rural Development,IADB/Colombia
Integrated Rural Development,ASDB/Thailand
Integrated Rural and Urban Poverty Project,IDA/Mauritania
Integrated Rural Agricultural Development in Saouni Plains,BADEA/Mali
Integrated Roads Program Project,IDA/Tanzania
Integrated River Basin Development Project in Maluku and in East Nusa Tenggara,ASDB/Indonesia
Integrated resort on the Red Sea coast,IFC/Egypt
Integrated Renovation of the Huancalloâ€“Huancavelica Program,CAF/Peru
Integrated Renewable Biomass Energy Development,ASDB/China
Integrated Regional Health Development Project,IDA/China
Integrated producer of denim supplying local and overseas jeanswear manufacturers,IFC/Morocco
Integrated Phosphate Project,IBRD/Jordan
Integrated Pest Managment for Highland Vegetables,ASDB/Philippines
Integrated Pest Management Training Project,IBRD/Indonesia
 Integrated-Pest-Management (IPM) Programme for the Control of the Date Palm Red Weevil,IFAD/Global
Integrated Pest Management for Smallholder Estate Crops,ASDB/Indonesia
Integrated Pest Management,ASDB/Pakistan
Integrated Nutrition Improvement Project,IBRD/Colombia
Integrated National Telecommunication Strategic Development Plan and East Indonesia Strategic Master Plan,ASDB/Indonesia
Integrated Monitoring,Slovakia/Serbia and Montenegro
Integrated meat processing and slaughter operation in Siroki Brijeg,IFC/Bosnia-Herzegovina
Integrated Mass Transit System in Cali,IADB/Colombia
Integrated management of coastal waters,Brazil/Cuba
Integrated Livestock Development Project,IBRD/Hungary
Integrated Land and Population Development Program on Kiritimati Island,ASDB/Kiribati
Integrated Irrigation Sector,ASDB/Indonesia
Integrated Hill Farming Development Project,IDA/Pakistan
Integrated Health Sector Development Program,NDF/Senegal
Integrated Health Development Project,IDA/Bolivia
Integrated Habitat Program,CAF/Venezuela
Integrated Grapefruit Industry,CDB/Dominica
Integrated Forestry and Livestock Project,IDA/Rwanda
Integrated Fisheries Development Project (Supplementary Loan),AFDF/Djibouti
Integrated Fisheries Development Project,NDF/Cape Verde
Integrated Financial Management Program,IADB/Dominican Republic
Integrated Family Farming Project,IBRD/Zambia
Integrated Energy Programme,CDB/St.Vincent & Grenadines
Integrated Energy Programme,CDB/St.Vincent & Grenadines
Integrated Energy Model,ASDB/Pakistan
Integrated Electric Power,IADB/Ecuador
Integrated education to blind and visually impaired children and adults,Poland/Angola
Integrated Ecosystem Management and Environmental Protection of the Baiyangdian Lake Catchment,ASDB/China
Integrated Development Project (Down Stream of Manantali Dam),Kuwait/Mali
Integrated Development Plan for the Northern Line Islands,ASDB/Kiribati
Integrated Development of Southern Ghors,United Arab Emirates/Jordan
Integrated Development of Basic Urban Services in Secondary Towns,ASDB/Mongolia
Direct Investment Facility: Salco,EBRD/Russia
Direct Investment Facility: RAF Avia,EBRD/Latvia
Direct Investment Facility: Progas,EBRD/Sts Ex-Yugo. Unspec.
Direct Investment Facility: Primus,EBRD/Bosnia-Herzegovina
Direct Investment Facility: Minii Delgur,EBRD/Mongolia
Direct Investment Facility: Lomisi,EBRD/Georgia
Direct Investment Facility: lmedi L,EBRD/Georgia
Direct Investment Facility: Liqvor,EBRD/Armenia
Direct Investment Facility: lberia Refreshments,EBRD/Georgia
Direct Investment Facility: Kalipso,EBRD/Kyrgyz Republic
Direct Investment Facility: Issyk-Ata Hydro Power Station Rehabilitation,EBRD/Kyrgyz Republic
Direct Investment Facility: Intercos-IV,EBRD/Russia
Direct Investment Facility: IntelliKraft,EBRD/Russia
Direct Investment Facility: Intellikraft,EBRD/Russia
Direct Investment Facility: Iberia Refreshments,EBRD/Georgia
Direct Investment Facility: Iberia Refreshments,EBRD/Georgia
Direct Investment Facility: Iberia Refreshments,EBRD/Georgia
Direct Investment Facility: Hytex Plastic,EBRD/Armenia
Direct Investment Facility: Hytex Plastic,EBRD/Armenia
Direct Investment Facility: Firestop,EBRD/Russia
Direct Investment Facility: Firestop,EBRD/Russia
Direct Investment Facility: Firestop,EBRD/Russia
Direct Investment Facility: Delidor,EBRD/Georgia
Direct Investment Facility: Cascade Insurance and Reinsurance Company,EBRD/Armenia
Direct Investment Facility: Cascade Insurance and Reinsurance Company,EBRD/Armenia
Direct Investment Facility: Cascade Insurance and Reinsurance,EBRD/Armenia
Direct Investment Facility: Besser Kyrgyzstan,EBRD/Kyrgyz Republic
Direct Investment Facility: BDC-Vytas,EBRD/Kyrgyz Republic
Direct Investment Facility: Babylon,EBRD/Bulgaria
Direct Investment Facility: Australian Independent Diamond Drilling,EBRD/Mongolia
Direct Investment Facility: Alpha Pharma,EBRD/Armenia
Direct Investment Facility: Alfapet,EBRD/Georgia
Direct Investment Facility,EBRD/Turkmenistan
Direct Investment Facility,EBRD/Moldova
Direct Investment Facility,EBRD/Russia
Direct Investment Facility,EBRD/Kyrgyz Republic
Direct Investment Facility,EBRD/Ukraine
Direct Investment Facility,EBRD/Ukraine
Direct Insurance Russia,EBRD/Russia
Direct Funding: Finance,United States/Yemen
DiplomaticPersonal Administartion Course on Environenmental Policy ,Chile/Haiti
Diploma Education in Youth.,Chile/Nicaragua
Dipiu,EBRD/Albania
Diourbel City Sewerage Project : (Phase II),BADEA/Senegal
Dionysos,EBRD/Moldova
Dimethyl terephthalate (DMT) manufacture,ASDB/Taiwan
Dimensions of Sustainable Development in the Kazbegi and Borjomi Regions.,Latvia/Georgia
Dili Water Supply Performance Improvement,ASDB/Timor-Leste
Dili Urban Water Supply Sector,ASDF/Timor-Leste
Dikhil Water Supply Project,AFDF/Djibouti
Digitel 2002 Rt.,EBRD/Hungary
Digital Telephone Exchanges,United States/Israel
Digital switching systems,United States/Philippines
Digital switching equipment,United States/Tunisia
Digital switching equipment,United States/Indonesia
Digital Marine Mapping Project,NDF/Indonesia
Digitalization of Polish archives. Georgian Polish heritage analysis: assessment of current co- operation and prospects for future collaboration,Poland/Georgia
Digital Connect System,United States/Philippines
Digital Cellular Telecommunications Equipment,United States/Armenia
Digial Loop Carrier Equipment,United States/Philippines
Digerster Cooking System,United States/Russia
Diffa Region Local Development Support Project,AFDF/Niger
Diesel Locomotive Companents and Sugar Plantation Equipment,United States/Mozambique
Diesel generators,United States/Guatemala
Diesel Engine Parts,United States/Venezuela
Diesel-Electric Switching Locomotives,United States/India
Diesel Electric Locomotives,United States/Indonesia
Diesel Electric Locomotive,United States/Sts Ex-Yugo. Unspec.
Diesel Electric Locomotive,United States/Gabon
Diesel Electric Locomotive,United States/Gabon
Diesel Electric Locomotive,United States/Mexico
Diesel Electric Locomotive,United States/Argentina
Diesel Electric Locomotive,United States/Mexico
Diesel Electric Locomotive,United States/Indonesia
Diesel Electric Locomotive,United States/Mexico
Diesel Electric Locomotive,United States/Zimbabwe
Diesel Electric Locomotive,United States/Mexico
Diesel Electric Generators,United States/Peru
Diesel Electric Generators,United States/Peru
DieselaEngines,United States/Uzbekistan
Dieng Geothermal,ASDB/Indonesia
Dieke Oil Palm and Rubber Project Phase Ill-Soguipah 111,AFDF/Guinea
Diecke Oil Palm and Rubber,AFDF/Guinea
Did you notice? - families and schools join together to prevent drug abuse,Hungary/Serbia and Montenegro
Didieni-Goumbou-Nara Road Rehabilitation,OPEC/Mali
Diaper Manufacturing Machinery,United States/Mexico
Diamond Cement Ghana Limited,IFC/Ghana
dialogue program in Vojvodina - partnership in society,Hungary/Serbia and Montenegro
Mineral Resources Development,ASDB/Thailand
Mineral Resources Development,ASDB/Philippines
Mineral Resources Development,ASDB/Korea
Minera Loma De Niquel,IFC/Venezuela
Mineral Exploration Promotion,IDA/Guinea
Mineral Exploration and Development Plan,ASDB/Laos
Mine field clearance,Monaco/Jordan
Mine development and plant construction for gold mining,IFC/Ghana
Mine clearance of protected areas,Monaco/Croatia
Mindoro Rural Development Project,IBRD/Philippines
Minderheitenprogramm Kosovo MAAR 3 ,Liechtenstein/Serbia and Montenegro
Mindelo Water Supply and Sewrage Project,AFDF/Cape Verde
Mindelo Water and Sewerage II,AFDF/Cape Verde
Mindelo Shipyard lmprovement,AFDF/Cape Verde
Mindelo Shipyard Improvement,AFDF/Cape Verde
Mindelo Sanitation and Water Supply Study,AFDF/Cape Verde
Mindanao Urban Planning and Basic Services Sector,ASDB/Philippines
Mindanao Smallholder Development,ASDB/Philippines
Mindanao Second Roads [Improvement Project,Kuwait/Philippines
MINDANAO SECONDARY AND FEEDER ROADS PROJECT,ASDB/Philippines
MINDANAO SECONDARY AND FEEDER ROADS PROJECT,ASDB/Philippines
Mindanao Secondary and Feeder Roads,ASDB/Philippines
Mindanao Roads Project,Kuwait/Philippines
Mindanao Roads Improvement Project (Supplementary Loan) ,Kuwait/Philippines
Mindanao roads improvement,Saudi Arabia/Philippines
Mindanao Power Transmission Project,OPEC/Philippines
Mindanao Power System Development Study,ASDB/Philippines
Mindanao Power Project,ASDB/Philippines
Mindanao Irrigation Study IV,ASDB/Philippines
Mindanao Basic Urban Services Sector Project,NDF/Philippines
Mindanao Basic Urban Services Sector,ASDB/Philippines
Minburi - Lat Krabang Industrial Estates Project,IBRD/Thailand
Minas Gerais Water Supply and Sewerage Project (03),IBRD/Brazil
Minas Gerais Water Supply and Sewerage Project,IBRD/Brazil
Minas Gerais Water Quality and Pollution Control,IBRD/Brazil
Minas Gerais Transmission System,IADB/Brazil
MinasGeraisTransmissionSystem,IADB/Brazil
Minas Gerais Rural Development Project (02),IBRD/Brazil
Minas Gerais Rural Development Project,IBRD/Brazil
Minas Gerais Road Program,IADB/Brazil
Minas Gerais Road Improvement Program,IADB/Brazil
Mina Qaboos Port Development,AFESD/Oman
Minaj Printers Limited will become a full-service printer by acquiring modern printing equipment. This will enable the company to finish jobs that are currently outsourced (AEF).,IFC/Nigeria
Minahasa Power Feasibility Study,ASDB/Indonesia
Minahasa Power ,ASDF/Indonesia
Milotâ€“Rreshen Road,OPEC/Albania
Milli Reasurans T.A.S.,IFC/Turkey
million ton cement plant,United States/India
Milling Machinery,United States/Korea
Milk Production,CDB/St.Vincent & Grenadines
Milk Production,CDB/St.Vincent & Grenadines
Milk Production,CDB/St.Vincent & Grenadines
Milk-Pro,EBRD/Azerbaijan
Milk-Pro,EBRD/Azerbaijan
Milk Pro,EBRD/Azerbaijan
Milk Plant (Equity),CDB/St.Vincent & Grenadines
Milk Plant,CDB/St.Vincent & Grenadines
Milk Pasteurization Plant,IADB/Peru
Milk Pasteurization Plant,IADB/Peru
Milk and Meat Processing Project,IBRD/Chile
Milagro Irrigation Project,IDA/Ecuador
MILAGRO IRRIGATION I,IBRD/Ecuador
Miho Watershed Development Project,IBRD/Korea
Migration and Regional Integration,Chile/Venezuela
Migration and Development Cooperation: A Challenge for the migration agenda in the Region,Chile/Peru
MIFERMA Iron Ore Project,IBRD/Mauritania
Mid-Zambezi Valley Rural Development Project,AFDF/Zimbabwe
Midwifery training and projects to develop education in Baghlan province,Hungary/Afghanistan
Mid Western States Oil Palm Project,IBRD/Nigeria
Midwestern States Cocoa - Cocoa Project (02),IBRD/Nigeria
Tenedora Nemak,IFC/Mexico
Tenedora Nemak S.A. de C.V.,IFC/Mexico
Tendering Process for Independent Power Producer Plants,ASDB/Bangladesh
Ten Bridges Project II,AFDF/Tanzania
Ten Bridges Phase I Project (Supplementary),AFDF/Tanzania
Tenaris Steel Plant,EBRD/Romania
Templeton Value Fund,EBRD/Russia
Templeton Asset Management Company & Unit Investment Fund ,EBRD/Russia
Tempisque River Irrigation Project,IADB/Costa Rica
Tema Osonor Power Project,AFDB/Ghana
Tema Food Complex Project,OPEC/Ghana
Tema-Aflao Rehabilitation Road Project (Akatsi-Aflao Section),AFDF/Ghana
Teluk Lada Area Development (Phase II),ASDB/Indonesia
Teluk Lada Area Development (Phase II),ASDB/Indonesia
TELUK LADA AREA DEVELOPMENT (PHASE 1) PROJECT,ASDB/Indonesia
